date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:03	276008/276008	---M--	200	added ('OK')	image/jpeg	etag:%225591c703fdef7%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/system/og.jpg?166802853	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/system/ogfc90.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:55:04	12392/12392	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Mar%202018%2001:55:02%20GMT	http://www.sheng-fa.com.tw/xn--putv40iira.html	C:/My%20Websites/1/www.sheng-fa.com.tw/xn--putv40iira.html	(from http://www.sheng-fa.com.tw/index.html)
09:55:05	10935/10935	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe08fbe40%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G13.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G13.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:55:05	7506/7506	---M--	200	added ('OK')	image/jpeg	etag:%224aeabe08fbe40%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/G14.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/G14.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:55:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Mar%202018%2001:55:05%20GMT	http://www.sheng-fa.com.tw/14.html	C:/My%20Websites/1/www.sheng-fa.com.tw/14.html	(from http://www.sheng-fa.com.tw/index.html)
09:55:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Mar%202018%2001:55:05%20GMT	http://www.sheng-fa.com.tw/09.html	C:/My%20Websites/1/www.sheng-fa.com.tw/09.html	(from http://www.sheng-fa.com.tw/index.html)
09:55:07	1300/1300	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:42:30%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.min.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:10	35951/35951	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:46:57%20GMT	http://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.4/js/bootstrap.min.js	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.4/js/bootstrap.min.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:12	95966/95966	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:42:33%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:12	21121/21121	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:42:41%20GMT	http://cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.0.0/jquery.magnific-popup.min.js	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.0.0/jquery.magnific-popup.min.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:13	16884/16884	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:46:48%20GMT	http://cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.0/sweetalert.min.js	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/sweetalert/1.1.0/sweetalert.min.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:14	277164/277164	---M--	200	added ('OK')	image/jpeg	etag:%224ade3245b7e80%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/system/home-banner.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/system/home-banner.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:55:14	54751/54751	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:39:20%20GMT	http://cdnjs.cloudflare.com/ajax/libs/Swiper/3.0.8/js/swiper.jquery.min.js	C:/My%20Websites/1/cdnjs.cloudflare.com/ajax/libs/Swiper/3.0.8/js/swiper.jquery.min.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:14	225/225	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Mar%202018%2001:55:13%20GMT	http://www.sheng-fa.com.tw/templates/js/cdnlibs.min.js	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/js/cdnlibs.min.3c.delayed	(from http://www.sheng-fa.com.tw/index.html)
09:55:17	17359/17359	---M--	200	added ('OK')	application/javascript	etag:%22567fadeae40c0%22	http://www.sheng-fa.com.tw/templates/js/global.js	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/js/global.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:19	11887/11887	---M--	200	added ('OK')	application/javascript	etag:%22566e1dda7f500%22	http://www.sheng-fa.com.tw/templates/js/display.tpl.js	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/js/display.tpl.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:20	2854/2854	---M--	200	added ('OK')	application/javascript	etag:%22566e1dda7f500%22	http://www.sheng-fa.com.tw/templates/js/mobile.js	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/js/mobile.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:20	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Websites/1/www.google-analytics.com/analytics.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:21	41398/41398	---M--	200	added ('OK')	application/javascript	etag:%22567fae1109ac0%22	http://www.sheng-fa.com.tw/templates/js/common.tpl.js	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/js/common.tpl.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:25	4680/4680	---M-Z	200	added ('OK')	application/javascript	etag:%225a320fbb-1248%22	https://d.line-scdn.net/r/web/social-plugin/js/thirdparty/loader.min.js	C:/My%20Websites/1/d.line-scdn.net/r/web/social-plugin/js/thirdparty/loader.min.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:26	945/945	---M--	200	added ('OK')	application/javascript	etag:%22c309656b7aae00ff05aaec6897514ba6%22	http://cdn.doublemax.net/js/rtid.js	C:/My%20Websites/1/cdn.doublemax.net/js/rtid.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:27	3798/3798	---M--	200	added ('OK')	application/javascript	etag:W/%223798-1516953374000%22	http://dmp.eland-tech.com/dmpreceiver/eland_tracker.js	C:/My%20Websites/1/dmp.eland-tech.com/dmpreceiver/eland_tracker.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:28	3558/3558	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2010%20Jan%202018%2021:24:43%20GMT	https://d31qbv1cthcecs.cloudfront.net/atrk.js	C:/My%20Websites/1/d31qbv1cthcecs.cloudfront.net/atrk.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:30	44158/44158	---MC-	200	added ('OK')	application/javascript	date:Sat,%2024%20Mar%202018%2001:55:24%20GMT	https://apis.google.com/js/plusone.js	C:/My%20Websites/1/apis.google.com/js/plusone.js	(from http://www.sheng-fa.com.tw/index.html)
09:55:35	620523/620523	---M--	200	added ('OK')	image/jpeg	etag:%224ade5a351b680%22	http://www.sheng-fa.com.tw/templates/cache/5404/images/sf-001.jpg	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/cache/5404/images/sf-001.jpg	(from http://www.sheng-fa.com.tw/index.html)
09:55:35	43/43	---M--	200	added ('OK')	image/gif	etag:%22221d8352905f2c38b3cb2bd191d630b0%22	https://d5nxst8fruw4z.cloudfront.net/atrk.gif?account=4o3+i1a8Dy00ih	C:/My%20Websites/1/d5nxst8fruw4z.cloudfront.net/atrk5706.gif	(from http://www.sheng-fa.com.tw/index.html)
09:55:35	1688/1688	---M--	200	added ('OK')	image/gif	etag:%225479417962100%22	http://www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/loading.gif	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/loading.gif	(from http://www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/fine-uploader-new.min.css)
09:55:35	3209/3209	---M--	200	added ('OK')	image/gif	etag:%225479417962100%22	http://www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/processing.gif	C:/My%20Websites/1/www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/processing.gif	(from http://www.sheng-fa.com.tw/templates/js/libs/fine-uploader/dist/fine-uploader-new.min.css)
